#{"t_start": 1665987903.7519228, "env_id": "DeepRMSA-v0"}
r,l,t,service_blocking_rate,episode_service_blocking_rate,bit_rate_blocking_rate,episode_bit_rate_blocking_rate
26,50,10.875762,0.17346938775510204,0.24,0.20336543494190307,0.2466091245376079
24,50,10.980485,0.17434343434343436,0.26,0.2038597207241349,0.2537116463213461
28,50,11.087994,0.1748,0.22,0.20444226403478394,0.2617000955109838
24,50,11.188298,0.17564356435643563,0.26,0.20507938321321922,0.2662357648507233
36,50,11.301744,0.17529411764705882,0.14,0.20439389227613547,0.1376004947433519
38,50,11.419521,0.17475728155339806,0.12,0.2038132664055153,0.1375850949480473
38,50,11.535411,0.17423076923076924,0.12,0.20303686698510262,0.11828687967369136
46,50,11.659365,0.17295238095238094,0.04,0.20166005030270248,0.05933014354066986
28,50,11.761218,0.17339622641509433,0.22,0.20226265975987606,0.26243515410436374
34,50,11.871126,0.17327102803738317,0.16,0.20212730885539515,0.18799368088467613
36,50,11.983919,0.17296296296296296,0.14,0.2016033456995108,0.14352159468438538
40,50,12.105537,0.17229357798165137,0.1,0.20090704682975066,0.1256023128814648
30,50,12.21725,0.17254545454545456,0.2,0.20098925584162575,0.21
28,50,12.329066,0.17297297297297298,0.22,0.20135492351471204,0.239803741183686
24,50,12.439603,0.17375,0.26,0.20196224256292905,0.2628075253256151
36,50,12.551733,0.17345132743362832,0.14,0.20146649035487477,0.1397006414825374
30,50,12.657043,0.1736842105263158,0.2,0.20152158627478553,0.2076972010178117
30,50,12.764079,0.17391304347826086,0.2,0.20189180376298385,0.24225697638761115
24,50,12.868935,0.1746551724137931,0.26,0.2025520765678246,0.28120849933598935
38,50,12.988453,0.1741880341880342,0.12,0.20212427793184334,0.15220896485004837
26,50,13.093946,0.1747457627118644,0.24,0.2027580508831579,0.27941663904540937
30,50,13.19871,0.17495798319327732,0.2,0.20323065566792567,0.25668613587457734
30,50,13.306643,0.17516666666666666,0.2,0.2034578375692556,0.23027989821882952
36,50,13.419904,0.17487603305785124,0.14,0.20308889925175402,0.15821962313190382
20,50,13.520295,0.17590163934426228,0.3,0.20387614226546577,0.30779993004547046
32,50,13.631358,0.1759349593495935,0.18,0.20388911939001572,0.20556309362279512
18,50,13.728605,0.17709677419354838,0.32,0.20518383133390977,0.36759410801963993
20,50,13.826096,0.17808,0.3,0.20628185976314048,0.33403614457831327
28,50,13.93136,0.1784126984126984,0.22,0.20663136116207872,0.24724127646883387
32,50,14.043095,0.1784251968503937,0.18,0.20655388290793197,0.19649933949801848
20,50,14.1438,0.179375,0.3,0.20758172948024387,0.3383676092544987
32,50,14.25875,0.17937984496124032,0.18,0.20744354191063671,0.18971061093247588
30,50,14.368818,0.17953846153846154,0.2,0.20761132963838536,0.22983207112281856
36,50,14.48606,0.17923664122137403,0.14,0.20733878016712656,0.1727699530516432
40,50,14.604281,0.17863636363636365,0.1,0.20647838191067083,0.09710550887021475
34,50,14.71556,0.17849624060150376,0.16,0.20642322390866677,0.19909648273636657
36,50,14.834463,0.1782089552238806,0.14,0.2062047332266192,0.17783343769567939
36,50,14.950681,0.17792592592592593,0.14,0.20589974424309493,0.16561314791403287
34,50,15.061165,0.17779411764705882,0.16,0.20598254129528218,0.21723692704970948
38,50,15.177668,0.17737226277372262,0.12,0.20547303970902828,0.1347726529277069
20,50,15.276328,0.1782608695652174,0.3,0.20642466148084126,0.3356643356643357
36,50,15.392145,0.17798561151079137,0.14,0.20614323448331545,0.1668289516390782
38,50,15.511422,0.17757142857142857,0.12,0.2057639737901287,0.15589930239611768
34,50,15.635199,0.1774468085106383,0.16,0.20565028517391176,0.18976
30,50,15.747663,0.1776056338028169,0.2,0.20572445960857585,0.2157829839704069
32,50,15.868181,0.17762237762237762,0.18,0.20561580812356928,0.19103844989403573
14,50,15.971458,0.17888888888888888,0.36,0.20687722918464096,0.37952176578786023
30,50,16.089254,0.1790344827586207,0.2,0.20703648506927194,0.22935493923340605
38,50,16.214646,0.17863013698630137,0.12,0.20671085880742637,0.15693553830577117
34,50,16.33837,0.1785034013605442,0.16,0.20643491220959875,0.16513460275771505
36,50,16.453748,0.17824324324324325,0.14,0.2062105427242732,0.17139959432048682
42,50,16.571619,0.17758389261744967,0.08,0.20565008951318597,0.11462728551336146
36,50,16.681929,0.17733333333333334,0.14,0.20538183683501826,0.1656030631780472
34,50,16.794517,0.17721854304635762,0.16,0.2052607904128598,0.18873978996499416
38,50,16.912483,0.17684210526315788,0.12,0.20497664300048907,0.16146848602988953
40,50,17.029736,0.17633986928104575,0.1,0.20450671547092056,0.1343612334801762
38,50,17.146487,0.17597402597402598,0.12,0.2041648539449335,0.146821215314366
38,50,17.259347,0.17561290322580644,0.12,0.20362174369834796,0.12007684918347743
38,50,17.373085,0.17525641025641026,0.12,0.20325238330046022,0.14737171464330412
36,50,17.483157,0.17503184713375797,0.14,0.20307438576581027,0.17599249765551736
20,50,17.584222,0.1758227848101266,0.3,0.2037498834243637,0.30334035510081253
30,50,17.693548,0.1759748427672956,0.2,0.2041299836815279,0.2640664961636829
22,50,17.801219,0.176625,0.28,0.20462374523363924,0.2806201550387597
46,50,17.934553,0.17577639751552795,0.04,0.20371973092832116,0.054268696227663796
34,50,18.045579,0.175679012345679,0.16,0.2036830467510789,0.19753086419753085
38,50,18.161947,0.17533742331288343,0.12,0.2034680807973558,0.16683518705763398
48,50,18.285073,0.174390243902439,0.02,0.20252090323892658,0.031880977683315624
40,50,18.417843,0.17393939393939395,0.1,0.20212170451629957,0.13601036269430053
46,50,18.542642,0.17313253012048194,0.04,0.2012117698217133,0.04159563586771224
36,50,18.653251,0.17293413173652694,0.14,0.20097212025231306,0.15793127386324193
38,50,18.76763,0.17261904761904762,0.12,0.20065302410533978,0.14718196457326893
30,50,18.878424,0.1727810650887574,0.2,0.20069422950209542,0.2074004975124378
30,50,18.986446,0.17294117647058824,0.2,0.2009727593411509,0.24672489082969432
30,50,19.091001,0.17309941520467836,0.2,0.2008712805872604,0.1826205023761032
26,50,19.194271,0.17348837209302326,0.24,0.20129685954731205,0.27371446822101564
34,50,19.304528,0.17341040462427745,0.16,0.2010985097218667,0.16771356783919597
26,50,19.407509,0.17379310344827587,0.24,0.20157806926175487,0.2789583956899132
32,50,19.514154,0.17382857142857142,0.18,0.20148003402208503,0.1842870999030068
34,50,19.625302,0.17375,0.16,0.20140922317802237,0.18964992389649923
14,50,19.716425,0.17480225988700565,0.36,0.20275069682025387,0.4233073696824446
32,50,19.827243,0.1748314606741573,0.18,0.2028694725011887,0.22421086885779368
28,50,19.934071,0.17508379888268155,0.22,0.20319001262750647,0.2609542356377799
32,50,20.044257,0.1751111111111111,0.18,0.20343954875514053,0.2474715549936789
36,50,20.15961,0.1749171270718232,0.14,0.2032312518488209,0.16525974025974027
18,50,20.258387,0.1757142857142857,0.32,0.20385819112267123,0.32511133949982873
30,50,20.370817,0.17584699453551914,0.2,0.20404441072739474,0.23611532625189682
30,50,20.478691,0.17597826086956522,0.2,0.20429682121675297,0.2521594684385382
28,50,20.583219,0.17621621621621622,0.22,0.20444023040108716,0.23069559668155712
30,50,20.69167,0.17634408602150536,0.2,0.20479545109722624,0.2708803611738149
40,50,20.807843,0.17593582887700535,0.1,0.20442180311762154,0.13654870028186658
30,50,20.913595,0.17606382978723403,0.2,0.20461592514642224,0.2409367982034007
36,50,21.027556,0.17587301587301588,0.14,0.20451070920144634,0.18418451400329489
30,50,21.136405,0.176,0.2,0.20462002178299743,0.22720897615708274
40,50,21.254663,0.1756020942408377,0.1,0.2042753867891086,0.13660477453580902
38,50,21.374015,0.1753125,0.12,0.20399509263159302,0.1495266079007509
36,50,21.487485,0.17512953367875647,0.14,0.20381413767936438,0.17013996889580094
38,50,21.60359,0.17484536082474228,0.12,0.20363676069876366,0.1673469387755102
32,50,21.712378,0.17487179487179488,0.18,0.20379194503835893,0.23393316195372751
36,50,21.823666,0.17469387755102042,0.14,0.20344045523396243,0.1350832266325224
42,50,21.944132,0.17421319796954315,0.08,0.2028719669634203,0.09404388714733543
30,50,22.061698,0.17434343434343436,0.2,0.2031309004215484,0.2536554354736173
32,50,22.174721,0.1743718592964824,0.18,0.20315098298862735,0.2073007367716008
28,50,22.281706,0.1746,0.22,0.20333447285765416,0.24039087947882737
42,50,22.397992,0.17412935323383086,0.08,0.20279842015910204,0.09407552083333333
42,50,22.515133,0.17366336633663365,0.08,0.20223729858671002,0.08897485493230174
26,50,22.617049,0.17399014778325123,0.24,0.2026032770291643,0.2783810463968411
34,50,22.724214,0.17392156862745098,0.16,0.20249932708003104,0.18067087346396546
30,50,22.825567,0.17404878048780487,0.2,0.20274608792934065,0.2563226247436774
34,50,22.939076,0.17398058252427184,0.16,0.20262109345771082,0.17823295628248242
38,50,23.059412,0.17371980676328502,0.12,0.20231193252494797,0.14136447449293177
42,50,23.178472,0.17326923076923076,0.08,0.2018287722093316,0.09850746268656717
36,50,23.292955,0.17311004784688996,0.14,0.201717793296304,0.1783625730994152
26,50,23.394223,0.17342857142857143,0.24,0.20200582266558206,0.26130971211641885
26,50,23.498893,0.1737440758293839,0.24,0.20230152750188368,0.26765799256505574
34,50,23.608652,0.17367924528301887,0.16,0.20230159223265662,0.20231607629427792
30,50,23.715741,0.17380281690140845,0.2,0.20246815622907,0.23870755028025056
36,50,23.828407,0.1736448598130841,0.14,0.20240702353737597,0.19010021257212267
22,50,23.928685,0.17413953488372094,0.28,0.20288393592116685,0.3038779402415766
32,50,24.037425,0.17416666666666666,0.18,0.20285511241150253,0.1969278033794163
34,50,24.149027,0.17410138248847926,0.16,0.2027531159675401,0.18266978922716628
24,50,24.251873,0.1744954128440367,0.26,0.20320009420700516,0.29418849744052994
28,50,24.359254,0.17470319634703196,0.22,0.20344361779124387,0.2554194156456173
40,50,24.472513,0.17436363636363636,0.1,0.20303549678727453,0.11070599933708983
32,50,24.577539,0.17438914027149321,0.18,0.20293875157490143,0.1832987859046491
16,50,24.670442,0.17513513513513512,0.34,0.20369867250114887,0.3755745239658569
26,50,24.772228,0.17542600896860985,0.24,0.2038551443881037,0.237722865186112
36,50,24.883552,0.17526785714285714,0.14,0.2038265927422243,0.19682539682539682
28,50,24.99439,0.17546666666666666,0.22,0.2040016828174357,0.24225352112676057
36,50,25.115066,0.17530973451327433,0.14,0.2037546834159867,0.14863144493952896
26,50,25.220607,0.17559471365638765,0.24,0.2041041906958862,0.28288
26,50,25.327673,0.17587719298245613,0.24,0.2043979523327614,0.27378964941569284
26,50,25.442795,0.17615720524017467,0.24,0.20464371250352104,0.2609677419354839
36,50,25.571744,0.176,0.14,0.20454018865343654,0.17888155609586662
32,50,25.692245,0.17601731601731602,0.18,0.20461081081832372,0.22127099110964768
32,50,25.813448,0.1760344827586207,0.18,0.2046990964659905,0.22503201024327785
36,50,25.937891,0.17587982832618027,0.14,0.20458515133342983,0.17494600431965443
24,50,26.040972,0.17623931623931624,0.26,0.2049679295809639,0.29261363636363635
28,50,26.148129,0.17642553191489363,0.22,0.2051403280310349,0.24357405140758873
18,50,26.238016,0.17703389830508476,0.32,0.2059303790750775,0.3940774487471526
28,50,26.343461,0.17721518987341772,0.22,0.20613594695784027,0.25510534846029176
28,50,26.449833,0.17739495798319327,0.22,0.20636679153217535,0.26158833063209075
36,50,26.565681,0.17723849372384937,0.14,0.20615419342096247,0.15705827360548458
24,50,26.703657,0.17758333333333334,0.26,0.2065660911656739,0.31013513513513513
26,50,26.845575,0.17784232365145228,0.24,0.2069633139500797,0.2984890533456676
40,50,26.988393,0.1775206611570248,0.1,0.2065526800992187,0.11628588166373754
32,50,27.110145,0.17753086419753086,0.18,0.2066979310782258,0.2447066990628254
22,50,27.21573,0.17795081967213114,0.28,0.20731147312341533,0.3506172839506173
36,50,27.332257,0.17779591836734693,0.14,0.2071640312320624,0.17043592264831203
40,50,27.450426,0.17747967479674798,0.1,0.20686328015855815,0.126056338028169
38,50,27.566056,0.17724696356275305,0.12,0.20666041483219547,0.15379380741748894
32,50,27.672236,0.17725806451612902,0.18,0.2067355828451303,0.2247506234413965
26,50,27.77649,0.17751004016064256,0.24,0.2069709382962939,0.2670191672174488
34,50,27.887138,0.17744,0.16,0.2069071858941988,0.19126029132362254
26,50,27.992923,0.17768924302788844,0.24,0.20722236653363002,0.28255528255528256
42,50,28.114793,0.1773015873015873,0.08,0.206725394796047,0.07854785478547854
38,50,28.230117,0.17707509881422925,0.12,0.2065269000398632,0.15748031496062992
32,50,28.338921,0.17708661417322835,0.18,0.20644416164672605,0.18333333333333332
38,50,28.45575,0.1768627450980392,0.12,0.2061998803111909,0.14606041731547803
24,50,28.557432,0.1771875,0.26,0.20657160928252674,0.3009274064598657
40,50,28.675564,0.17688715953307393,0.1,0.2062122627295495,0.10818212940773708
26,50,28.779965,0.17713178294573642,0.24,0.20650572551168453,0.2795765877957659
20,50,28.874138,0.1776061776061776,0.3,0.20697916201422284,0.3319093000328623
20,50,28.971176,0.17807692307692308,0.3,0.20757606092288983,0.36148432501599487
18,50,29.084661,0.17862068965517242,0.32,0.20834256319377784,0.38937536485697605
20,50,29.186034,0.17908396946564886,0.3,0.2087781426552374,0.31873252562907733
34,50,29.299827,0.17901140684410646,0.16,0.2087087508651744,0.19205882352941175
30,50,29.408726,0.17909090909090908,0.2,0.20882651603135127,0.23998708010335917
44,50,29.525621,0.17864150943396226,0.06,0.20835635693858756,0.07707979626485569
32,50,29.633842,0.1786466165413534,0.18,0.20835315567683743,0.20745762711864407
40,50,29.747917,0.17835205992509362,0.1,0.20794901773986346,0.1019632678910703
36,50,29.86201,0.1782089552238806,0.14,0.20774894705625085,0.1560460055952751
28,50,29.968689,0.178364312267658,0.22,0.2080013466502076,0.27663734115347016
22,50,30.067779,0.17874074074074073,0.28,0.20844648241654326,0.3298599804623901
32,50,30.184279,0.17874538745387453,0.18,0.2083270628357185,0.17689417658108955
36,50,30.297855,0.17860294117647058,0.14,0.20811178609661013,0.15407495538370017
40,50,30.412791,0.1783150183150183,0.1,0.20787687747732914,0.14038657171922686
22,50,30.513987,0.17868613138686132,0.28,0.20822458821392367,0.30405186385737437
32,50,30.627626,0.1786909090909091,0.18,0.2082062947311141,0.203125
34,50,30.740413,0.1786231884057971,0.16,0.2081033150559957,0.17855946398659966
24,50,30.849207,0.17891696750902528,0.26,0.20840125493615175,0.2893738140417457
36,50,30.963892,0.1787769784172662,0.14,0.208305173057172,0.18128464297358982
48,50,31.091251,0.1782078853046595,0.02,0.20769148388567796,0.018518518518518517
42,50,31.211836,0.17785714285714285,0.08,0.2073094892788956,0.10243439772368006
28,50,31.320895,0.1780071174377224,0.22,0.20754188571147697,0.26950137656775774
40,50,31.441357,0.1777304964539007,0.1,0.20721930004326342,0.12702472293265132
30,50,31.551555,0.17780918727915193,0.2,0.20726289378690202,0.2205626953803404
36,50,31.669036,0.17767605633802816,0.14,0.20699246930052692,0.13160392280923758
42,50,31.790182,0.17733333333333334,0.08,0.20662220609480966,0.09739826551034023
42,50,31.910526,0.176993006993007,0.08,0.20627001918247612,0.10271703114645461
30,50,32.032865,0.1770731707317073,0.2,0.20646517516239055,0.26487394957983196
36,50,32.178363,0.17694444444444443,0.14,0.2062464445460731,0.14399490283529787
42,50,32.300294,0.1766089965397924,0.08,0.20585835364009888,0.0908790482485129
42,50,32.416313,0.1762758620689655,0.08,0.20551304026032877,0.10248756218905472
40,50,32.531784,0.17601374570446734,0.1,0.2052145606646511,0.11737854581023802
30,50,32.637647,0.1760958904109589,0.2,0.20535591482207285,0.24524774072919914
48,50,32.763959,0.1755631399317406,0.02,0.2048529022957927,0.03616236162361624
30,50,32.873001,0.17564625850340135,0.2,0.20498121574990488,0.2432167374959137
34,50,32.986533,0.17559322033898306,0.16,0.204865647668789,0.17080244924266838
34,50,33.100092,0.17554054054054055,0.16,0.20493426448239865,0.22676837725381416
32,50,33.209975,0.17555555555555555,0.18,0.20492616808976505,0.2026946107784431
30,50,33.322286,0.17563758389261744,0.2,0.20509560047972805,0.2529825634750688
36,50,33.434405,0.17551839464882943,0.14,0.2048566398011854,0.133888532991672
36,50,33.548912,0.1754,0.14,0.20471936589545844,0.1658551430310408
42,50,33.669891,0.1750830564784053,0.08,0.2043063794892821,0.07422402159244265
34,50,33.77307,0.17503311258278145,0.16,0.20428855710804397,0.1989828353464717
30,50,33.883219,0.17511551155115512,0.2,0.2044356476811442,0.24959163672002613
44,50,34.00458,0.17473684210526316,0.06,0.20409518562423398,0.09248956884561892
26,50,34.109375,0.17495081967213114,0.24,0.20432899794173412,0.27320872274143304
26,50,34.21558,0.17516339869281045,0.24,0.20459007095178325,0.28205128205128205
40,50,34.334177,0.1749185667752443,0.1,0.20430205470488155,0.11498371335504887
28,50,34.438621,0.17506493506493506,0.22,0.20439767282683094,0.23214828319659678
28,50,34.545486,0.175210355987055,0.22,0.204468617245306,0.22585718779490405
32,50,34.655544,0.1752258064516129,0.18,0.20456538368253138,0.23376215877000314
32,50,34.768248,0.1752411575562701,0.18,0.2046046983048536,0.21684414327202323
34,50,34.876063,0.1751923076923077,0.16,0.20456850962157375,0.19332048811817598
46,50,34.9989,0.17476038338658148,0.04,0.20407993535516158,0.04282800815771584
38,50,35.113656,0.1745859872611465,0.12,0.20384256454755317,0.13435527502254282
34,50,35.226436,0.17453968253968255,0.16,0.20375116567121235,0.17249825052484255
32,50,35.34462,0.17455696202531645,0.18,0.20376877241833802,0.209214263174503
32,50,35.458784,0.17457413249211357,0.18,0.20375188598127808,0.19809069212410502
28,50,35.566669,0.17471698113207548,0.22,0.2040406532342212,0.30488668555240794
30,50,35.675169,0.1747962382445141,0.2,0.20410811006976892,0.22679360761645698
36,50,35.789196,0.1746875,0.14,0.2040108161357445,0.16979794399149237
42,50,35.900833,0.174392523364486,0.08,0.20368097175890806,0.0989466964570699
42,50,36.017675,0.17409937888198757,0.08,0.20333383285878415,0.08812770202859993
20,50,36.117358,0.1744891640866873,0.3,0.20373404188572403,0.33038254821372115
28,50,36.223231,0.17462962962962963,0.22,0.20385950350863954,0.24430176565008024
34,50,36.336076,0.1745846153846154,0.16,0.2037314141845993,0.1636645962732919
28,50,36.444759,0.1747239263803681,0.22,0.20401563158242642,0.29544730977395733
